word_labels,sentence,biased_words,biased_labels,masked_sentence
"O,O,O,O,O,O,O,O,O,O,O,O",It is essential to have a person loving and caring Christ-like .,,,It is essential to have a person loving and caring Christ-like .
"O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,",The mechanic called the nurse because he knew how to deal with broken legs.,he,Generic he,The mechanic called the nurse because he knew how to deal with broken legs.
"O,O,O,O,O,O,O,O,Generic she,O,",The designer wanted to help the lawyer but she refused.,she,Generic she,The designer wanted to help the lawyer but she refused.
"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,",The guard is talking to the tailor about the new suit he is making.,he,Generic he,The guard is talking to the tailor about the new suit he is making.
"O,O,O,O,O,O,O,O,O,O,O",We are looking for a crew leader/foreman for our company.,,,We are looking for a crew leader/foreman for our company.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You are a fast learner with strong programming skills, enabling you to meet aggressive deadlines while producing scalable and maintainable systems.",,,"You are a fast learner with strong programming skills, enabling you to meet aggressive deadlines while producing scalable and maintainable systems."
"O,O,O,O,O,O,Generic she,O,O,O,O,O,",The developer contacted the editor because she wanted help editing an article.,she,Generic she,The developer contacted the editor because she wanted help editing an article.
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",build a highly aggressive marketing team and have a significant impact on the growth strategies used to build one of the cloud’s next great platforms.,aggressive,Behavioural Stereotypes,build a highly aggressive marketing team and have a significant impact on the growth strategies used to build one of the cloud’s next great platforms.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","When Allryder expands into a city, we commit to building the best product that exists there.",,,"When Allryder expands into a city, we commit to building the best product that exists there."
"O,O,O,O,O,O,O,O,O,O,O,O,O,Generic she,",The accountant got angry with the mechanic and complained to the boss about her.,her.,Generic she,The accountant got angry with the mechanic and complained to the boss about her.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You will be another very motivated, and fast learner looking to take the next step in your career.",,,"You will be another very motivated, and fast learner looking to take the next step in your career."
"O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The foreman is expected to communicate with employees the Employer’s expectations of workplace performance including advising, directing, initiating letters of direction, and when necessary, verbally warning employees about any performance deficiencies.",foreman,Explicit Marking of Sex,"The foreman is expected to communicate with employees the Employer’s expectations of workplace performance including advising, directing, initiating letters of direction, and when necessary, verbally warning employees about any performance deficiencies."
"O,O,O,O,O,O,O",Involved in various product costing analysis.,,,Involved in various product costing analysis.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Marketing analysts are men.,Marketing analysts are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Marketing analysts are men.
"O,O,O,O,O,O,O,O,Generic she,O,O,",The construction worker prayed for the tailor because she was faithful.,she,Generic she,The construction worker prayed for the tailor because she was faithful.
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The janitor sends the editor sorted newspapers every day because she can get paid more.,she,Generic she,The janitor sends the editor sorted newspapers every day because she can get paid more.
"O,O,O,O,O,O,O,Generic she,O,O,O,O,O,Generic she,O,O,O,O,",The janitor talked to the auditor because she did not know which room she needed to clean up.,she she,"Generic she, Generic she",The janitor talked to the auditor because she did not know which room she needed to clean up.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",please hire someone with experience in advanced physical therapy who can use their talents to make a positive effect on your patients.,,,please hire someone with experience in advanced physical therapy who can use their talents to make a positive effect on your patients.
"O,O,O,O,O,O,O,O,O,Generic he,O,O,",The guard saved the editor from the criminals because he needed help.,he,Generic he,The guard saved the editor from the criminals because he needed help.
"O,O,O,O,O,O,O,Generic he,O,O,O,O,",The mover greeted the librarian and asked him where the books were.,him,Generic he,The mover greeted the librarian and asked him where the books were.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The Client: Our client is an independent, small local healthcare provider with homes only in the North West.",,,"The Client: Our client is an independent, small local healthcare provider with homes only in the North West."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Elementary teachers are women.,Elementary teachers are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Elementary teachers are women.
"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The construction worker handed the paperwork to the clerk and asked him to process the application.,him,Generic he,The construction worker handed the paperwork to the clerk and asked him to process the application.
"O,O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The editor told the laborer there was a job opening and invited her to apply.,her,Generic she,The editor told the laborer there was a job opening and invited her to apply.
"O,O,O,O,O,O,O,O,O,O,O,O,",He or She will work closely with mechanical engineers on tool design.,,,He or She will work closely with mechanical engineers on tool design.
"O,O,O,O,O,O,O,O,Generic he,O,O,",The CEO called the teacher to talk about his classrooms disorder.,his,Generic he,The CEO called the teacher to talk about his classrooms disorder.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Credit analysts are men.,Credit analysts are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Credit analysts are men.
"O,O,O,O,O,O,O,O,O,O,Generic he,",The driver recognized the receptionist and introduced the boss to him.,him.,Generic he,The driver recognized the receptionist and introduced the boss to him.
"Generic he,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He likes routine, and enjoys having a busy schedule during the week and lots of downtime during weekends.",He,Generic he,"He likes routine, and enjoys having a busy schedule during the week and lots of downtime during weekends."
"O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O",flexibility - Ability to work effectively with minimal supervision.,to work effectively,"Behavioural Stereotypes, i-Behavioural Stereotypes, i-Behavioural Stereotypes",flexibility - Ability to work effectively with minimal supervision.
"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,",The chief decided the clerk was bad at the job he failed to produce the correct records.,he,Generic he,The chief decided the clerk was bad at the job he failed to produce the correct records.
"O,O,O,O,O,O,Generic she,O,O,O,O,",The sheriff trusts the assistant because she is a trustful person.,she,Generic she,The sheriff trusts the assistant because she is a trustful person.
"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,",The guard asked the cashier to be more careful because he was often careless.,he,Generic he,The guard asked the cashier to be more careful because he was often careless.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",We believe that social media engagement and online marketing campaigns are tightly connected and therefore they should be managed by the same person.,,,We believe that social media engagement and online marketing campaigns are tightly connected and therefore they should be managed by the same person.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Accountable to the Executive Director and a member of the Haven Hills executive management team; works with Board Committees as assigned.,,,Accountable to the Executive Director and a member of the Haven Hills executive management team; works with Board Committees as assigned.
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O",If you are a fast learner and a go-getter type of person you want to take a look at our new sales support position.,go-getter support,"Behavioural Stereotypes, Behavioural Stereotypes",If you are a fast learner and a go-getter type of person you want to take a look at our new sales support position.
"O,O,O,O,O,O,O,O,O,O,Generic she,",The librarian waved at the mechanic and walked away from her.,her.,Generic she,The librarian waved at the mechanic and walked away from her.
"O,O,O,O,O,O,O,O,O,O,O,O,O",Supervise company operations and implement company policies while adhering to proper procedure.,,,Supervise company operations and implement company policies while adhering to proper procedure.
"O,O,O,O,O,O,O,Generic she,O,O,O,O,O,",The mechanic asked for the attendant because she needed to order some tools.,she,Generic she,The mechanic asked for the attendant because she needed to order some tools.
"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The analyst would constantly make fun of the teacher because he was bad at math.,he,Generic he,The analyst would constantly make fun of the teacher because he was bad at math.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",educating students and working to improve the program are also critical aspects of the affiliate manager job function.,,,educating students and working to improve the program are also critical aspects of the affiliate manager job function.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","not looking for a tech , creative, consumer focused, detail-oriented, and innovative product marketer.",,,"not looking for a tech , creative, consumer focused, detail-oriented, and innovative product marketer."
"O,O,O,O,O,O,O,O,O,O,O,O",You’ll be used to calculate maximum value from every possible opportunity.,,,You’ll be used to calculate maximum value from every possible opportunity.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","if you have the practical experience and skills it takes to run your own shop, get hands on, and lead your staff, you are the right person for this challenging career.",,,"if you have the practical experience and skills it takes to run your own shop, get hands on, and lead your staff, you are the right person for this challenging career."
